dataMode,id,address,neighborhood,type,listDate,pendingDate,listPriceAtPending,closePrice,assessedValue,beds,baths,sqft,yearBuilt,zip,districtName,area,subArea,sqFtLot,zoning
PUBLIC_PROXY,3348615,"9216 9TH AVENUE NW, Seattle 98117",8,11,2025-09-22,2025-09-22,733000,1192500,733000,4,2.00,1780,1942,98117,SEATTLE,6,8,5829,NR3
PUBLIC_PROXY,3354476,"2612 25TH AVE W, Seattle 98199",3,3,2025-10-31,2025-10-31,982000,1160000,982000,4,2.00,2050,1955,98199,SEATTLE,11,3,5120,NR3
PUBLIC_PROXY,3347915,"4018 LINDEN AVE NORTH A, Seattle 98103",9,11,2025-09-12,2025-09-12,1193000,1291000,1193000,4,2.00,1820,1941,98103,SEATTLE,43,9,7626,NR3
PUBLIC_PROXY,3353415,"102 NE 60TH STREET, Seattle 98115",5,11,2025-10-24,2025-10-24,1067000,1200000,1067000,3,1.75,1720,1925,98115,SEATTLE,43,5,2496,NR3
PUBLIC_PROXY,3359429,"3116 SW TRENTON ST, Seattle 98126",6,11,2025-12-13,2025-12-13,831000,1100000,831000,4,3.00,2680,1977,98126,SEATTLE,77,6,7560,NR2
PUBLIC_PROXY,3348153,"1121 16TH AVE, Seattle 98122",3,11,2025-09-17,2025-09-17,1229000,1247500,1229000,3,3.50,1810,2013,98122,SEATTLE,15,3,1769,LR3 (M)
PUBLIC_PROXY,3344994,"4411 SW HOLLY ST, Seattle 98136",7,11,2025-08-27,2025-08-27,1027000,1100000,1027000,3,1.75,1940,1926,98136,SEATTLE,16,7,5457,LR1 (M1)
PUBLIC_PROXY,3355219,"521 5TH AVE W UNIT 402, Seattle 98119",3,11,2025-11-07,2025-11-07,1104000,1220000,1104000,4,2.25,2400,1901,98119,SEATTLE,15,3,3640,LR1 (M)
PUBLIC_PROXY,3345810,"8351 JONES AVE NW, Seattle 98117",10,11,2025-08-30,2025-08-30,1308000,1330000,1308000,4,2.25,2490,1940,98117,SEATTLE,19,10,4000,NR3
PUBLIC_PROXY,3347708,"13033 SE 288TH PL, Seattle 98092",11,11,2025-09-16,2025-09-16,1122000,1125000,1122000,4,1.00,1980,1909,98092,SEATTLE,82,11,6180,NR3
PUBLIC_PROXY,3347665,"710 SUMMIT AVENUE E, Seattle 98102",6,11,2025-09-16,2025-09-16,1305000,1185000,1305000,3,2.25,2290,1904,98102,SEATTLE,13,6,2144,LR3 (M)
PUBLIC_PROXY,3359178,"316 N 84TH ST, Seattle 98103",8,2,2025-12-11,2025-12-11,1696000,1349000,1696000,5,3.00,2030,2025,98103,SEATTLE,42,8,5550,NR3
PUBLIC_PROXY,3349780,"2325 43RD AVENUE E #102, Seattle 98112",98112,14,2025-10-01,2025-10-01,1042000,1320000,1042000,0,0.00,0,0,98112,Seattle,,,0,
